Instruction datasets written to data/instruct
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.113, 'grad_norm': 3.0777454376220703, 'learning_rate': 1.9044344009956114e-05, 'epoch': 0.14}
{'loss': 1.2966, 'grad_norm': 4.4629597663879395, 'learning_rate': 1.903779393463025e-05, 'epoch': 0.14}
{'loss': 1.1631, 'grad_norm': 3.122847557067871, 'learning_rate': 1.9031243859304384e-05, 'epoch': 0.15}
{'loss': 1.2317, 'grad_norm': 3.563652992248535, 'learning_rate': 1.902469378397852e-05, 'epoch': 0.15}
{'loss': 1.1323, 'grad_norm': 3.7129156589508057, 'learning_rate': 1.901814370865265e-05, 'epoch': 0.15}
{'loss': 1.1805, 'grad_norm': 2.6552867889404297, 'learning_rate': 1.9011593633326786e-05, 'epoch': 0.15}
{'loss': 1.1689, 'grad_norm': 2.7446348667144775, 'learning_rate': 1.900504355800092e-05, 'epoch': 0.15}
{'loss': 1.163, 'grad_norm': 2.8353090286254883, 'learning_rate': 1.8998493482675052e-05, 'epoch': 0.15}
{'loss': 1.1781, 'grad_norm': 3.1672253608703613, 'learning_rate': 1.8991943407349187e-05, 'epoch': 0.15}
{'loss': 1.1583, 'grad_norm': 2.7092039585113525, 'learning_rate': 1.898539333202332e-05, 'epoch': 0.15}
{'loss': 1.1587, 'grad_norm': 3.5967605113983154, 'learning_rate': 1.8978843256697454e-05, 'epoch': 0.15}
{'loss': 1.3044, 'grad_norm': 2.8464863300323486, 'learning_rate': 1.897229318137159e-05, 'epoch': 0.15}
{'loss': 1.196, 'grad_norm': 3.730903387069702, 'learning_rate': 1.896574310604572e-05, 'epoch': 0.16}
{'loss': 1.1173, 'grad_norm': 2.370858907699585, 'learning_rate': 1.8959193030719856e-05, 'epoch': 0.16}
{'loss': 1.1253, 'grad_norm': 2.983182191848755, 'learning_rate': 1.895264295539399e-05, 'epoch': 0.16}
{'loss': 1.1457, 'grad_norm': 2.996124029159546, 'learning_rate': 1.8946092880068123e-05, 'epoch': 0.16}
{'loss': 1.1809, 'grad_norm': 3.6502060890197754, 'learning_rate': 1.8939542804742258e-05, 'epoch': 0.16}
{'loss': 1.1218, 'grad_norm': 3.158447504043579, 'learning_rate': 1.893299272941639e-05, 'epoch': 0.16}
{'loss': 1.1714, 'grad_norm': 3.146883249282837, 'learning_rate': 1.8926442654090525e-05, 'epoch': 0.16}
{'loss': 1.1824, 'grad_norm': 3.6582536697387695, 'learning_rate': 1.891989257876466e-05, 'epoch': 0.16}
{'loss': 1.1462, 'grad_norm': 2.9753100872039795, 'learning_rate': 1.891334250343879e-05, 'epoch': 0.16}
{'loss': 1.0531, 'grad_norm': 2.7476799488067627, 'learning_rate': 1.8906792428112926e-05, 'epoch': 0.16}
{'loss': 1.1753, 'grad_norm': 2.5903146266937256, 'learning_rate': 1.8900242352787058e-05, 'epoch': 0.17}
{'loss': 1.089, 'grad_norm': 3.1144602298736572, 'learning_rate': 1.8893692277461193e-05, 'epoch': 0.17}
{'loss': 1.0969, 'grad_norm': 3.107362985610962, 'learning_rate': 1.8887142202135328e-05, 'epoch': 0.17}
{'loss': 1.2482, 'grad_norm': 3.548645496368408, 'learning_rate': 1.888059212680946e-05, 'epoch': 0.17}
