Instruction datasets written to data/instruct
[Tue Nov 25 23:19:55 EST 2025] Step 2a: Training LoRA (TinyLlama-1.1B-Chat-v1.0 on medqa)...
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.0342, 'grad_norm': 2.98720645904541, 'learning_rate': 1.8939542804742258e-05, 'epoch': 0.16}
{'loss': 0.988, 'grad_norm': 2.5975112915039062, 'learning_rate': 1.893299272941639e-05, 'epoch': 0.16}
{'loss': 1.0303, 'grad_norm': 2.7141501903533936, 'learning_rate': 1.8926442654090525e-05, 'epoch': 0.16}
{'loss': 1.0488, 'grad_norm': 3.0942511558532715, 'learning_rate': 1.891989257876466e-05, 'epoch': 0.16}
{'loss': 1.0121, 'grad_norm': 2.5909206867218018, 'learning_rate': 1.891334250343879e-05, 'epoch': 0.16}
{'loss': 0.9459, 'grad_norm': 2.4453017711639404, 'learning_rate': 1.8906792428112926e-05, 'epoch': 0.16}
{'loss': 1.0399, 'grad_norm': 2.2729411125183105, 'learning_rate': 1.8900242352787058e-05, 'epoch': 0.17}
{'loss': 0.9674, 'grad_norm': 2.609313488006592, 'learning_rate': 1.8893692277461193e-05, 'epoch': 0.17}
{'loss': 0.9651, 'grad_norm': 2.7457520961761475, 'learning_rate': 1.8887142202135328e-05, 'epoch': 0.17}
{'loss': 1.0826, 'grad_norm': 3.080143690109253, 'learning_rate': 1.888059212680946e-05, 'epoch': 0.17}
{'loss': 0.9869, 'grad_norm': 3.7239561080932617, 'learning_rate': 1.8874042051483595e-05, 'epoch': 0.17}
{'loss': 1.0562, 'grad_norm': 2.6673293113708496, 'learning_rate': 1.8867491976157727e-05, 'epoch': 0.17}
{'loss': 1.036, 'grad_norm': 2.920471429824829, 'learning_rate': 1.8860941900831862e-05, 'epoch': 0.17}
{'loss': 1.0583, 'grad_norm': 3.208690643310547, 'learning_rate': 1.8854391825505997e-05, 'epoch': 0.17}
{'loss': 1.0118, 'grad_norm': 3.1443521976470947, 'learning_rate': 1.884784175018013e-05, 'epoch': 0.17}
{'loss': 0.9463, 'grad_norm': 2.4509494304656982, 'learning_rate': 1.8841291674854264e-05, 'epoch': 0.17}
